《标准日本语》 中级 上册

第1课
度合い (どあい) (0)	[名] 程度
…てちょうだい	…わりには，…	… (ん) だなあ	…かしら/かな
～なんか，…	…さ	…ところに，…	～同士 (どうし)
…うえに，…	～などと…	…んだから/のだから，…
…たらいい/ばいい (よろしい)	…でもあり，また～でもある

词汇Ⅱ
態度 (たいど) (1)	[名] 态度
乱暴だ (らんぼうだ) (0)	[形动] 粗暴
遅刻する (ちこくする) (0)	[动3] 迟到
新鮮だ (しんせんだ) (0)	[形动] 新鲜
工事 (こうじ) (1)	[名] 工程
文章 (ぶんしょう) (1)	[名] 文章
厳しい (きびしい) (3)	[形] 严厉
優しい (やさしい) (0)	[形] 亲切，和蔼
ぜいたく品 (ぜいたくひん) (0)	[名] 奢侈品
必需品 (ひつじゅひん) (0)	[名] 必需品
わたしたち (3)	[代] 我们
われわれ (0)	[代] 我们
ぼくたち (1)	[代] 我们
おれ (0)	[代] 我
おれたち (2)	[代] 我们
あなたたち (2)	[代] 你们
あなたがた (0)	[代] 你们
君たち (きみたち) (2)	[代] 你们
おまえ (0)	[代] 你
おまえたち (3)	[代] 你们
方 (かた) (2)	[名] 人
どなた (1)	[代] 哪位，谁
～品 (ひん)	～がた		


第5课
词汇Ⅰ
梅雨 (つゆ) (0)	[名] 梅雨
家屋 (かおく) (1)	[名] 住房
しとしとと (2)	[副] 淅淅沥沥
続く (つづく) (0)	[动1] 持续
時期 (じき) (1)	[名] 时期
湿度 (しつど) (2)	[名] 湿度
蒸し暑い (むしあつい) (4)	[形] 闷热
乾燥する (かんそうする) (0)	[动3] 干燥
悩ます (なやます) (3)	[动1] 令人烦恼
伝統的だ (でんとうてきだ) (0)	[形动] 传统的
壁 (かべ) (0)	[名] 墙壁
取り外し (とりはずし) (0)	[名] 取下
障子 (しょうじ) (0)	[名] 日本式房间的拉窗、隔扇
ふすま (0)	[名] 日本式房间的拉门、隔扇
区切る (くぎる) (2)	[动1] 隔开
取り外す (とりはずす) (0)	[动1] 取下
全体 (ぜんたい) (0)	[名] 整体，全
通る (とおる) (1)	[动1] 通过
素材 (そざい) (0)	[名] 原材料，素材
植物性 (しょくぶつせい) (0)	[名] 植物性
床 (ゆか) (0)	[名] 地板
敷く (しく) (0)	[动1] 铺设
畳 (たたみ) (0)	[名] 榻榻米，日本式房间里铺的草席
わら (1)	[名] 稻草
いぐさ (1)	[名] 灯心草
編む (あむ) (1)	[动1] 编织
湿気 (しっけ) (3)	[名] 湿气
吸い取る (すいとる) (3)	[动1] 吸收
風土 (ふうど) (1)	[名] 风土
適する (てきする)	[动3] 适应
欧米風 (おうべいふう) (0)	[名] 西洋式
建築 (けんちく) (0)	[名] 建筑
やあ (1)	[感] 啊
いらっしゃい (4)	[寒暄] 欢迎
濡れる (ぬれる) (0)	[动2] 淋湿
うん (1)	[感] 嗯
ただ (1)	[副] 只，仅
おっ	[感] 噢
ほんとに (0)	[副] 真
～的 (てき)	～せい (せい)	…にしたがって，…
～風 (ふう)	…てたまらない	～君 (くん)	～じゃ…
…かい	～って…	甲お乙と言う	
形容词的连用终止

词汇Ⅱ
家賃 (やちん) (1)	[名] 房租
踊り (おどり) (0)	[名] 舞蹈
近づく (ちかづく) (3)	[动1] 靠近
棒 (ぼう) (0)	[名] 棒
バット (1)	[名] 球棒
折り紙 (おりがみ) (2)	[名] 折纸
早退 (そうたい) (0)	[名] 早退
祭り (まつり) (0)	[名] 传统节日
ひな祭り (ひなまつり) (3)	[名] 女儿节
印刷する (いんさつする) (0)	[动3] 印刷
欠席する (けっせきする) (0)	[动3] 缺席
出席 (しゅっせき) (0)	[名] 出席
学習する (がくしゅうする) (0)	[动3] 学习
我慢する (がまんする) (1)	[动3] 忍耐
柱 (はしら) (0)	[名] 柱子
天井 (てんじょう) (0)	[名] 天花板
煙突 (えんとつ) (0)	[名] 烟筒
廊下 (ろうか) (0)	[名] 走廊
門 (もん) (1)	[名] 门
階段 (かいだん) (0)	[名] 楼梯
寝室 (しんしつ) (0)	[名] 卧室
便所 (べんじょ) (3)	[名] 厕所
浴室 (よくしつ) (0)	[名] 浴室
和室 (わしつ) (0)	[名] 日本式房间
洋室 (ようしつ) (0)	[名] 西式房间
住宅 (じゅうたく) (0)	[名] 住宅


第6课
词汇Ⅰ
七夕 (たなばた) (0)	[名] 七夕
8世紀 (はっせいき) (3)	[名] 8世纪
行事 (ぎょうじ) (1)	[名] 活动
願いごと (ねがいごと) (0)	[名] 心愿，愿望
つるす (1)	[动1] 呈，挂
まつわる (3)	[动1] 相关，关联
ある (1)	[连体] 某…，有个
貧しい (まずしい) (3)	[形] 贫穷
牛飼い (うしかい) (3)	[名] 放牛，牛倌
追い出す (おいだす) (3)	[动1] 赶出去
暮らし始める (くらしはじめる) (6)	[动2] 开始生活
天女 (てんにょ) (1)	[名] 仙女
水浴び (みずあび) (4)	[名] 洗澡，淋浴
隠れる (かくれる) (3)	[动2] 躲，躲藏
持ち主 (もちぬし) (2)	[名] (东西) 的主人
お嫁さん (およめさん) (0)	[名] 妻子
現す (あらわす) (3)	[动1] 出现
天 (てん) (1)	[名] 天
神様 (かみさま) (1)	[名] 神仙
幸せだ (しあわせだ) (0)	[形动] 幸福
生まれる (うまれる) (0)	[动2] 生
皮 (かわ) (2)	[名] 皮
かける (2) (皮をかける)	[动2] 披 (披着皮)
言い残す (いいのこす) (4)	[动1] 留下话
探す (さがす) (0)	[动1] 寻找
連れ戻す (つれもどす) (4)	[动1] 带回 (人或动物)
連れる (つれる) (0)	[动2] 带 (人或动物)
昇る (のぼる) (0)	[动1] 升高，飞
舞い上がる (まいあがる) (4)	[动1] 飞起
追いかける (おいかける) (4)	[动2] 追赶
追いつく (おいつく) (3)	[动1] 追赶
天の川 (あまのがわ) (3)	[名] 银河
離れ離れ (はなればなれ) (4)	[名] 分离，分散
かわいそうだ (4)	[形动] 可怜
許す (ゆるす) (2)	[动1] 允许，同意
かささぎ (0)	[名] 喜鹊
かける (2) (橋をかける)	[动2] 架 (架桥)
織姫 (おりひめ) (2)	[专] 织女
～世紀 (せいき)	…始める (はじめる)	…とおり，…
…たとたん (に)，…	…ということだ	…出す (だす)
…てやる	…てならない	…てばかりいる	…たがっている

词汇Ⅱ
構造 (こうぞう) (0)	[名] 构造，结构
立派だ (りっぱだ) (0)	[形动] 杰出，优秀
涙 (なみだ) (1)	[名] 眼泪
卒業する (そつぎょうする) (0)	[动3] 毕业
忘れ物 (わすれもの) (0)	[名] 遗忘的东西
文句 (もんく) (1)	[名] 怨言
ジュース (1)	[名] 果子汁
やむ (0)	[动1] (雨) 停
雲 (くも) (1)	[名] 云
