《标准日本语》 中级 下册

第21课
词汇Ⅰ
词汇Ⅱ
式 (しき) (2)	[名] 仪式，典礼
高層 (こうそう) (0)	[名] 高层
建つ (たつ) (1)	[动1] 建，盖
遊園地 (ゆうえんち) (3)	[名] 娱乐场
明らかだ (あきらかだ) (2)	[形动] 明显
予期する (よきする) (1)	[动3] 预料
かび (0)	[名] 霉
泥 (どろ) (2)	[名] 泥
ふと (0)	[副] 猛然，突然，偶然
おもちゃ (2)	[名] 玩具
オリンピック (4)	[名] 奥林匹克运动会
産地 (さんち) (1)	[名] 产地
目がない (めがない) (1)+(1)	[惯用] 非常喜欢
目もくれない (めもくれない) (1)+(0)	[惯用] 连瞥都不瞥一眼
首を長くする (くびをながくする) (0)+(1)	[惯用] 翘首企望
耳を貸す (みみをかす) (2)+(0)	[惯用] 听别人说话
耳にする (みみにする) (2)+(0)	[惯用] 听到，听见
耳が痛い (みみがいたい) (2)+(2)	[惯用] 刺耳，不爱听
口がうまい (くちがうまい) (0+(2)	[惯用] 会说奉承话，能说会道
口がすべる (くちがすべる) (0)+(2)	[惯用] 走嘴，失言


第24课
词汇Ⅰ
鶴 (つる) (1)	[名] 鹤，仙鹤
恩返し (おんがえし) (3)	[名] 报恩
貧乏だ (びんぼうだ) (1)	[形动] 贫乏
田 (た) (1)	[名] 稻田，水田
耕す (たがやす) (3)	[动1] 耕，耕作
矢 (や) (1)	[名] 箭，矢
刺さる (ささる) (2)	[动1] 扎进，刺入
一羽 (いちわ) (2)	[名] (鸟，兔)一只
舞い降りる (まいおりる) (4)	[动2] (慢慢)飘落，飞落下来
抜く (ぬく) (0)	[动1] 拔掉，抽出
鳴く (なく) (0)	[动1] (鸟等)啼，鸣叫
よしよし	[感] 好啦，好啦
しんぼう (1)	[名] 忍耐，忍受
おじぎ (0)	[名] 敬礼，行礼
戸 (と) (0)	[名] 门，大门
トントン (1)	[副] 咚咚(轻击声)
目がくらむ (めがくらむ) (1)+(0)	[惯用] (好得)令人目眩
申しわけありません (もうしわけありません) (9)	[寒暄] 十分对不起
今晩 (こんばん) (1)	[名] 今晚，今夜
泊める (とめる) (0)	[动2] 住宿，过夜
ひと晩 (ひとばん) (2)	[名] 一夜
嫁 (よめ) (0)	[名] 媳妇，新娘子
言い出す (いいだす) (3)	[动1] 说出
働き者 (はたらきもの) (0)	[名] 能干的人
機 (はた) (2)	[名] 织布机
織る (おる) (1)	[动1] 织，编织
なぜ (1)	[副] 为什么
とにかく (1)	[副] 无论如何
織り始める (おりはじめる) (5)	[动2] 开始编织
やがて (0)	[副] 不久
にっこり (3)	[副] 微笑貌
織り上がる (おりあがる) (4)	[动1] 织成，织好
布 (ぬの) (0)	[名] 布
織物 (おりもの) (0)	[名] 织物
金持ち (かねもち) (3)	[名] 财主，有钱的人
大金 (たいきん) (0)	[名] 巨款
うなずく (3)	[动1] 点头(表示同意)
じっと (0)	[副] 一声不响地
ふし穴 (ふしあな) (0)	[名] (木版上的)节孔，缝隙
のぞく (0)	[动1] 窥视
ありゃりゃ (0)	[感] 哎呀呀！
助ける (たすける) (3)	[动2] 救助，帮助
羽 (はね) (0)	[名] 羽毛
織りかける (おりかける) (4)	[动2] 没有织完，织了一半
遠い (とおい) (0)	[形] 远，遥远
鳴き声 (なきごえ) (3)	[名] (鸟等的)鸣声，啼声
夕焼け (ゆうやけ) (0)	[名] 晚霞
いつまでも (1)	[词组] 永远，始终
響く (ひびく) (2)	[动1] 响，回响
～羽 (わ)	…ばかりに，…	…ばかりだ	…ては，…ては…
ひと～	…かのように，…	こんな…(こと)はない

词汇Ⅱ
倒れる (たおれる) (3)	[动2] 倒下
ふらふら (1)	[副] 摇摇晃晃地
ちぎれる (3)	[动2] 被扭断
固い (かたい) (0)	[形] 紧紧地，用力
握手する (あくしゅする) (1)	[动3] 握手
泣き出す (なきだす) (3)	[动1] 哭起来，开始哭
興奮する (こうふんする) (0)	[动3] 兴奋
かみつく (3)	[动1] 咬，咬住
抗議 (こうぎ) (1)	[名] 抗议
きらめく (3)	[动1] 闪耀
砂浜 (すなはま) (0)	[名] 海滨沙滩
とろける (3)	[动2] 溶化，融解
輝く (かがやく) (3)	[动1] 放光(辉)
みはる (0)	[动1] 睁大眼睛直看
目をみはる (めをみはる) (1)+(0)	[惯用] 堂目惊视
凍る (こおる) (0)	[动1] 结冰，冻结
北風 (きたかぜ) (0)	[名] 北风
息 (いき) (1)	[名] 呼吸，喘气
弾む (はずむ) (0)	[动1] (呼吸)变粗，急促
振る舞う (ふるまう) (3)	[动1] 动作，行动
威張る (いばる) (2)	[动1] 逞威风，傲慢
自信 (じしん) (0)	[名] 自信，信心
報道する (ほうどうする) (0)	[动3] 报道
退屈する (たいくつする) (0)	[动3] 厌倦，无聊
裏切る (うらぎる) (3)	[动1] 背叛，出卖
不愉快だ (ふゆかいだ) (2)	[形动] 不愉快
