《标准日本语》 初级 下册

第26课
半年 (はんとし) (0)	[名] 半年
寂しい (さびしい) (3)	[形] 寂寞
感じる (かんじる) (0)	[动2] 感到，感觉
お変わりない (おかわりない) (3)+(1)	[寒暄] 您一向可好？
知らせる (しらせる) (0)	[动2] 告诉，通知
レポート (2)	[名] 读书报告
そろそろ (1)	[副] 快要～，该～
準備 (じゅんび) (1)	[名] 准备
それでは (3)	[接续] 那么
～用 (よう)	～ておく	～作り (づくり)	…そう

词汇Ⅱ
感情 (かんじょう) (0)	[名] 感情
気持ち (きもち) (0)	[名] 心情
悲しい (かなしい) (0)	[形] 悲伤
悔しい (くやしい) (3)	[形] 悔恨
驚く (おどろく) (3)	[动1] 惊讶
怒る (おこる) (2)	[动1] 生气
泣く (なく) (0)	[动1] 哭泣
喜ぶ (よろこぶ) (3)	[动1] 喜悦
予約する (よやくする) (0)	[动3] 订，预订
なくす (0)	[动1] 丢，丢掉
割る (わる) (0)	[动1] 打坏，弄坏
財布 (さいふ) (0)	[名] 钱包
落とす (おとす) (2)	[动1] 失落，丢掉，遗矢
火 (ひ) (1)	[名] 火


第34课
词汇Ⅰ
育つ (そだつ) (2)	[动1] 生长
農業 (のうぎょう) (1)	[名] 农业
収穫 (しゅうかく) (0)	[名] 收获
稲 (いね) (1)	[名] `子
もともと (0)	[副] 原来，本来
熱帯 (ねったい) (0)	[名] 热带
植物 (しょくぶつ) (2)	[名] 植物
実る (みのる) (2)	[动1] 成熟，结果
平均 (へいきん) (0)	[名] 平均
しかし (2)	[接续] 但是
寒さ (さむさ) (1)	[名] 寒冷
品種 (ひんしゅ) (0)	[名] 品种
米 (こめ) (2)	[名] 米，稻米
広まる (ひろまる) (3)	[动1] 普及，推广
開発 (かいはつ) (0)	[名] 开发，培育
トマト (1)	[名] 西红柿，番茄
きゅうり (1)	[名] 黄瓜
ビニルハウス (4)	[名] 塑料大棚
促成 (そくせい) (0)	[名] 早熟
栽培 (さいばい) (0)	[名] 栽培
八百屋 (やおや) (0)	[名] 蔬菜水果店
野菜 (やさい) (0)	[名] 蔬菜
こんな (0)	[连体] 这样
無理だ (むりだ) (1)	[形动] 困难
西瓜 (すいか) (0)	[名] 西瓜
珍しい (めずらしい) (4)	[形] 希罕，少见，珍贵
…ば	～による		

词汇Ⅱ
食べ物 (たべもの) (3)	[名] 食物
菓子 (かし) (1)	[名] 点心
牛乳 (ぎゅうにゅう) (0)	[名] 牛奶
調味料 (ちょうみりょう) (3)	[名] 调料
おかず (0)	[名] 菜
麦 (むぎ) (1)	[名] 麦子
豆 (まめ) (2)	[名] 豆
塩 (しお) (2)	[名] 盐
醤油 (しょうゆ) (0)	[名] 酱油
味噌 (みそ) (1)	[名] 酱
胡椒 (こしょう) (2)	[名] 胡椒
やる (0)	[动1] 干，做，搞
考える (かんがえる) (4)	[动2] 想，考虑
急ぐ (いそぐ) (2)	[动1] 赶快，急
間に合う (まにあう) (3)	[动1] 来得及


第35课
词汇Ⅰ
溶接 (ようせつ) (0)	[名] 焊接
大きな (おおきな) (1)	[连体] 大的
トラック (2)	[名] 卡车
小さな (ちいさな) (1)	[连体] 小的
作業 (さぎょう) (1)	[名] 工作，作业
始業 (しぎょう) (0)	[名] 上班，上课
ベル (1)	[名] 铃，电铃
生産 (せいさん) (0)	[名] 生产
台数 (だいすう) (3)	[名] 台数
ガソリン (0)	[名] 汽油
消費 (しょうひ) (0)	[名] 消耗
近代 (きんだい) (1)	[名] 现代
職員 (しょくいん) (2)	[名] 职员
ああ (1)	[感] 啊
タイヤ (0)	[名] 轮胎
ガラス (0)	[名] 玻璃
塗装 (とそう) (0)	[名] 涂抹，喷 (漆)
労働 (ろうどう) (0)	[名] 劳动
すばらしさ (4)	[名] 优越性
あらためて (3)	[副] 再次
鉄鋼 (てっこう) (0)	[名] 钢铁
分野 (ぶんや) (1)	[名] 领域，部门
向上する (こうじょうする) (0)	[动3] 向上，提高
努力 (どりょく) (1)	[名] 努力
発展 (はってん) (0)	[名] 发展
～化 (か)	…ている	…だろう	…のに
…てくる	～など	～製 (せい)	～量 (りょう)

词汇Ⅱ
懐かしさ (なつかしさ) (4)	[名] 怀念之情
暑さ (あつさ) (1)	[名] 热度
強さ (つよさ) (1)	[名] 强弱
大きさ (おおきさ) (0)	[名] 大小
寂しさ (さびしさ) (3)	[名] 寂寞
重い (おもい) (0)	[形] 重
若さ (わかさ) (1)	[名] 年轻
辛さ (からさ) (1)	[名] 辣
オートバイ (3)	[名] 摩托车，机动脚踏车
船 (ふな) (1)	[名] 船
ヘリコプター (3)	[名] 直升飞机
汽車 (きしゃ) (2)	[名] 火车，列车 (与汉语的“汽车”不一样)


第36课
词汇Ⅰ
うるさい (3)	[形] 吵
中止 (ちゅうし) (0)	[名] 停止，中止
結果 (けっか) (0)	[名] 结果
カラーテレビ (4)	[名] 彩色电视(机)
簡潔だ (かんけつだ) (0)	[形动] 简洁，简明
